studentId,firstName,lastName,courseId,courseName,term,year
123546851,john,smith,cst8288,Software Design Patterns,WINTER,2024
9861534S2,jane,smyth,mat1101A,Intro to Math,FALL,2025
3215619823,michael,hill,cst8288,Software Design Patterns,SUMMER,1955
124058657,Clayton,Farrell,CST8921,CLOUD INDUSTRY TRENDS,SUMMER,1968
627096984,Brandon,Yang,CST2234,Systems Analysis and Design,FALL,1968
659437820,Abdul,May,ENL1813T,COMMUNICATIONS I,WINTER,2018
502512316,Alana,Wilkins,CST8917,SERVERLESS APPLICATIONS,FALL,2005
355775674,Evangeline,Reed,CST8285,Web Programming,WINTER,1975
355655995,Sarah,Tate,CST8912,CLOUD SOLUTIONS ARCHITECTURE,SPRING,2019
646832535,Hayden,Benson,CST2355,Database Systems,FALL,1981
694379559,Rae,Warner,CST8916,REMOTE DATA AND REAL-TIME APPLICATIONS,SUMMER,1965
592379895,Hamilton,Britt,CST8390X,Business Intelligence and Data Analytics,FALL,2024
304128223,Kyra,Kline,CST8912,CLOUD SOLUTIONS ARCHITECTURE,FALL,1990
4777186590,Lev,Jennings,CST8300,Achieving Success in Changing Environments,FALL,2006
508379384,Alan,Humphrey,CST8117,CROSS-PLATFORM WEB DESIGN,WINTER,2020
4789660536,Leandra,Mercer,CST8916,REMOTE DATA AND REAL-TIME APPLICATIONS,FALL,1974
652073455,Doris,Fox,CST8917,SERVERLESS APPLICATIONS,WINTER,1992
571347523,Gareth,Yates,CST8919,DEVOPS - SECURITY AND COMPLIANCE,SUMMER,2014
374135595,Calvin,Mccarty,CST8283,Business Programming,WINTER,1969
573906433,Meghan,Joyce,CST8333,Programming Language Research Project,FALL,2006
304128223,Kyra,Kline,CON5040,Pipeline Construction Safety Training (PCST),WINTER,2014
646832535,Hayden,Benson,CST8325,CURRENT TRENDS IN WEB APPLICATION DEVELOPMENT,SUMMER,1975
669410813,Ethan,Abbott,CST8284,Object Oriented Programming (Java),FALL,2019
478966053,Leandra,Mercer,CST8912,CLOUD SOLUTIONS ARCHITECTURE,WINTER,1972
124058657,Clayton,Farrell,CST8118X,Computer Essentials,FALL,1968
694379559,Rae,Warner,CST8319,Software Development Project,WINTER,2025
573906433,Meghan,Joyce,CST8390,Business Intelligence and Data Analytics,FALL,2024
388061402,Indigo,Leonard,CST8921,CLOUD INDUSTRY TRENDS,FALL,1978
457569663,Yuri,Barrett,CST8915,FULL-STACK CLOUD-NATIVE DEVELOPMENT,FALL,1998
120262490,Brenna,Booth,CST8390,Business Intelligence and Data Analytics,FALL,1982
374135595,Calvin,Mccarty,CST8318,GRAPHICS TECHNOLOGIES,FALL,2019
680862390,Christopher,Holland,CST8390,Business Intelligence and Data Analytics,SUMMER,1996
901957093,Jordan,Woodard,CST8915,FULL-STACK CLOUD-NATIVE DEVELOPMENT,SUMMER,1990
388061402,Indigo,Leonard,CST8258,WEB PROJECT MANAGEMENT,FALL,1975
120262490,Brenna,Booth,CST8911,INTRODUCTION TO CLOUD COMPUTING,WINTER,1987
355775674,Evangeline,Reed,CST8390,Business Intelligence and Data Analytics,FALL,1987
662958688,Amity,Lang,CST8102,Operating System Fundamentals (GNU/Linux),WINTER,2025
669410813,Ethan,Abbott,CST8919,DEVOPS - SECURITY AND COMPLIANCE,FALL,2025
571347523,Gareth,Yates,CST8915X,FULL-STACK CLOUD-NATIVE DEVELOPMENT,SUMMER,1979
901957093,Jordan,Woodard,CST8911X,INTRODUCTION TO CLOUD COMPUTING,SPRING,1986
646832535,Hayden,Benson,CST8279,INTRODUCTION COMPUTER PROGRAMMING USING PYTHON,SUMMER,2007
303966221,Evangeline,Meyer,CST8333,Programming Language Research Project,SUMMER,2023
592379895,Hamilton,Britt,CST8265,WEB SECURITY BASICS,FALL,1986
680862390,Christopher,Holland,CST8250,DATABASE DESIGN AND ADMINISTRATION,SUMMER,1999
477718659,Lev,Jennings,CST8284,Object Oriented Programming (Java),WINTER,1978
120262490,Brenna,Booth,CST8915,FULL-STACK CLOUD-NATIVE DEVELOPMENT,FALL,1973
374135595,Calvin,Mccarty,CST8913,CLOUD MIGRATION,FALL,1999
680862390,Christopher,Holland,CST8215,Introduction to Database,FALL,2016
483751991,Keegan,Arnold,CST8276,Advanced Database Topics,FALL,2023
483751991,Keegan,Arnold,CST8916,REMOTE DATA AND REAL-TIME APPLICATIONS,WINTER,1985
